subfield,kind,syntax,semantic,used_in_primary_field,used_in_subfield
tfl,basic,"'-' ""TFL"" flightlevel","Transfer Flight Level. The flight level  at which a flight has been or will be  co-ordinated to cross one point  (flight level number), if in level flight,  or the cleared level to which it is  proceeding if climbing or  descending at the boundary point.",coordata  propfl,
tfvid,basic,"'-' ""TFVID"" 1{ALPHANUM}15",Identification of a “traffic volume”.,rrteto  rrtefrom  tfv,regulation
time,basic,"'-' ""TIME"" timehhmm","A time indication. May be an actual  time or a period of time, depending  upon the message context.",eetlat  eetlong  stay,
to,basic,"'-' ""TO"" timehhmm","""Time Over/Off"". A generic time field  which may contain the time for a  point or for an aerodrome. The time  may be an estimated, calculated or  actual time depending upon its  context.",p ad  osition  coordata  tto,pt
topos,basic,"'-' ""TOPOS"" 1 {ALPHANUM} 15","A position to which a route, a route  portion, a ‘path’ or a flow extends.   May be a region, an aerodrome or a  significant point.",,flow
txtime,basic,"'-' ""TXTIME"" datetime seconds",A transmission time indication.,sequencedat a,
unitid,basic,"'-' ""UNITID"" 2{ ALPHANUM}10","Identification of an air navigation  unit i.e. an ATC unit, aircraft  operator or flight plan originator.",unit,
until,basic,"'-' ""UNTIL"" day!timehhmm",The time at which a period of time  ends.,rvrperiod,rateperiod
valperiod,basic,"'-' ""VALPERIOD"" fulldatetime  fulldatetime","A validity period, inclusive of the  times given.",obtlimit,airroute  airspace
via1,basic,"'-' ""VIA1"" 1 {ALPHANUM} 15","A point, an ATS route or an airspace  which is either on or is required to  be on the route of flight. When it is  required to indicate more than one  this field will contain the first in the  sequence.",,flow
via2,basic,"'-' ""VIA2"" 1 {ALPHANUM} 15","A point, an ATS route or an airspace  which is either on or is required to  be on the route of flight. When it is  required to indicate more than one  this field will contain the second in  the sequence.",,flow
via3,basic,"'-' ""VIA3"" 1 {ALPHANUM} 15","A point, an ATS route or an airspace  which is either on or is required to  be on the route of flight. When it is  required to indicate more than one  this field will contain the third in the  sequence.",,flow
via4,basic,"'-' ""VIA4"" 1 {ALPHANUM} 15","A point, an ATS route or an airspace  which is either on or is required to  be on the route of flight. When it is  required to indicate more than one  this field will contain the fourth in the  sequence.",,flow
xti,basic,"'-' ""XTI"" datetime ! seconds",The exit time of an airspace or a  rlation.,,asp
